ville1,ville2,distance,id_liaison
5,42,11.670333650674538,83
6,9,19.583469827852674,84
6,13,15.911170639653413,85
6,15,11.833190594840733,86
6,20,5.384658172226782,87
6,26,18.25894676610434,88
6,28,17.688898756504546,89
6,38,19.53010296137015,90
6,39,16.399990207339076,91
6,41,7.795617065365094,92
6,118,16.261065182973248,93
6,120,18.986795605751283,94
6,132,14.16852199986923,95
6,136,18.060009877240507,96
8,9,9.158783774529192,97
8,10,11.138368292228172,98
8,11,6.413382008257666,99
8,12,3.338627505044919,100
8,13,7.932094620522904,101
8,14,5.38586526642957,102
8,15,16.700146188525398,103
8,16,8.54587382015062,104
8,19,3.869489801519749,105
8,22,3.5661454134031163,106
8,23,12.265157736428568,107
8,26,7.099343930604886,108
8,27,18.303765751267015,109
8,28,5.990306894915414,110
8,29,3.454634404660599,111
8,30,6.065302927576453,112
8,32,7.867787542801561,113
8,33,6.679752558467603,114
8,34,15.21708471284818,115
8,38,6.592762922493436,116
8,40,4.491486463829364,117
8,41,17.679414770565565,118
8,42,10.331481958058767,119
8,43,8.857437774631473,120
9,10,3.7410624582457093,121
9,11,11.753524662172989,122
9,12,7.86906053279071,123
9,13,9.41344548221489,124
9,14,9.95000841666139,125
9,15,9.320902786418005,126
9,16,15.19402508694573,127
9,19,5.7933140219753465,128
9,22,11.62803995898455,129
9,23,14.590738115391542,130
9,24,17.487232238828575,131
9,26,3.2687450720626403,132
9,28,6.353080042183567,133
9,29,10.581260197777832,134
9,30,13.179244145987559,135
9,32,2.10294063695015,136
9,33,5.282318550000133,137
9,34,11.100676576354473,138
9,38,2.787127096226941,139
9,40,10.62543258611739,140
9,41,12.078523384981695,141
9,42,5.294308286585853,142
9,43,17.68520762596855,143
10,11,11.67509751492271,144
10,12,8.804860138112904,145
10,13,13.037112498017583,146
10,14,10.007291225291096,147
10,15,11.57036023548177,148
10,16,18.29373823751472,149
10,19,8.600129911836913,150
10,22,14.188263379921429,151
10,23,12.85712910295996,152
10,24,14.520431568507094,153
10,26,6.843514223131286,154
10,28,9.835350163955344,155
10,29,13.332629802205032,156
10,30,13.612263997198182,157
10,32,3.457089890939775,158
10,33,5.107952538691997,159
10,34,7.563526410667134,160
10,38,5.970848961177948,161
10,40,11.116833128547544,162
10,41,14.980439912829834,163
10,42,2.5055866274016316,164
10,43,18.80104518326949,165
11,12,4.369108447486765,166
11,13,14.186169805722042,167
11,14,1.80534939491278,168
11,16,14.296389997616526,169
11,19,8.966957897227292,170
11,22,9.353726712860059,171
11,23,6.133417446052092,172
11,26,11.372644658734693,173
11,28,11.658772551454314,174
11,29,9.714891959699912,175
