label,category,latitude,longitude,commune_proche
Lavoir de Méré,CulturalSite,47.9026061,3.81765246,Jougne
Chapelle Notre-Dame de Lourdes,CulturalSite,46.825355,6.341902,Damprichard
Eglise Saint-Martin de Chablis et la Châsse de Saint-Epain,CulturalSite,47.8161291,3.79979196,Jougne
"Les Prés-de-Vaux, de l’industrie aux loisirs",SportsAndLeisurePlace,47.233909,6.03728409,Damprichard
Eglise Saint-Nazaire,CulturalSite,46.3005943,4.14933774,Jougne
Confrerie Saint-Vincent,SportsAndLeisurePlace,47.6166941,5.51335573,Damprichard
Chapelle et Fontaine Saint Martin,CulturalSite,47.231032,4.433327,Jougne
Véronique Barrillot,CulturalSite,47.3190992,5.04016556,Jougne
Atrium Spa & Beauté,SportsAndLeisurePlace,46.3048417,4.8324503,Jougne
La grange aux motos,CulturalSite,47.56319,4.52375,Jougne
L'app'Art - Boutique de Créateurs,CulturalSite,47.9824198,3.39592731,Jougne
Bibliothèque pour tous,CulturalSite,47.5585576,5.68208211,Damprichard
Répetition chorale Canzonetta,SportsAndLeisurePlace,47.453449,3.531087,Jougne
Sabotier sculpteur,CulturalSite,46.7363256,5.8875118,Jougne
Réseau des médiathèques Coeur de Loire,CulturalSite,47.4093187,2.92258411,Jougne
Belvédère de Molvaux,CulturalSite,47.467968,4.9610203,Jougne
Le Tilleul de Chaignay,Landform,47.476018,5.06588369,Jougne
Galerie Barnoud,CulturalSite,47.316541,5.094051,Jougne
Découvrez 2 sites beaunois en un seul billet : une aventure culturelle unique !,SportsAndLeisurePlace,47.02182,4.8372,Jougne
Maison du patrimoine et des forges,CulturalSite,47.486678,6.83230238,Damprichard
Gym pour le dos,SportsAndLeisurePlace,46.9052827,3.8420631,Jougne
Baz'Art de l'été,Landform,46.6666905,4.29002525,Jougne
Cinéma multiplexe - l'Olympia,SportsAndLeisurePlace,46.9102777,6.36083333,Damprichard
Location de vélos et de vélos à assistance électrique - Office de tourisme de Paray-le-Monial,SportsAndLeisurePlace,46.4500681,4.1212261,Jougne
Escapades dans le vignoble - Circuit Charme - 1/2 journée,SportsAndLeisurePlace,47.3237542,5.0320765,Jougne
Belvedere de l'Ermitage,Landform,46.902851,5.772342,Jougne
Au parrain généreux,CulturalSite,47.3212805,5.0396946,Jougne
De l'imagination et du carton,CulturalSite,46.430754,4.762969,Jougne
La Villa Palladienne - Château de Syam,CulturalSite,46.698994,5.9514141,Jougne
SurmontouR - Rémi Steiner,CulturalSite,47.20065,5.89389,Damprichard
"Visite à vélo, sur les pas de Vauban",SportsAndLeisurePlace,47.23418,6.03341,Damprichard
Centre Nautique de Paray-le-Monial,SportsAndLeisurePlace,46.4534046,4.11160986,Jougne
Avenir cycliste rudipontain,SportsAndLeisurePlace,47.386723,6.769143,Damprichard
Sentier des savoir-faire,Landform,46.4237252,5.80298842,Jougne
La Grange Rouge,CulturalSite,46.600639,5.194488,Jougne
Ferme Equestre Les Grilles - Equitation pour particuliers et familles,SportsAndLeisurePlace,47.6111401,3.1035989,Jougne
Eglise Saint-Blaise,CulturalSite,46.3969862,4.60510693,Jougne
Terre Cuite de la Nièvre,CulturalSite,46.7012269,3.1744675,Jougne
Belvédère de la Roche du Midi,Landform,46.75157,5.81341,Jougne
Centre social bavans,SportsAndLeisurePlace,47.48022,6.742548,Damprichard
Les Vignerons de Mancey - Parcours pédagogique,SportsAndLeisurePlace,46.5847806,4.90302732,Jougne
Reculée de Baume-les-Messieurs,Landform,46.70982,5.646007,Jougne
Il était une fois Besançon,SportsAndLeisurePlace,47.2377372,6.0240028,Damprichard
Graveur 39 - Pascal Delagarde,CulturalSite,47.0764452,5.4072517,Jougne
Eglise Saint-Laurent,CulturalSite,46.8620727,3.3255476,Jougne
L'Échoppe d'Eva,CulturalSite,47.7325,6.53531,Damprichard
Église de l'Assomption,CulturalSite,47.6196212,6.0857717,Damprichard
Vauban Aventures,SportsAndLeisurePlace,46.9409344,5.86949407,Jougne
Aéro-Club Les Ailes de Pouilly-Maconge,SportsAndLeisurePlace,47.2199941,4.5540771,Jougne
En pleine nature - marche nordique,SportsAndLeisurePlace,47.02557,4.83816,Jougne
