Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Gilley,25271,25650,3,Ornans,CC de Montbenoit,1805,47.04889,6.48000,890,17.44
Grand'Combe-Châteleu,25285,25570,3,Morteau,CC du Val de Morteau,1507,47.02722,6.56861,770,21.62
Grand-Charmont,25284,25200,2,Bethoncourt,CA Pays de Montbéliard Agglomération,5865,47.52611,6.82500,340,4.51
Grandfontaine,25287,25320,1,Besançon-1,CU Grand Besançon Métropole,1810,47.19861,5.90028,240,5.72
Granges-Narboz,25293,25300,3,Pontarlier,CC du Grand Pontarlier,1355,46.87917,6.31000,840,16.34
Hérimoncourt,25304,25310,2,Audincourt,CA Pays de Montbéliard Agglomération,3530,47.44305,6.88167,361,7.28
Houtaud,25309,25300,3,Pontarlier,CC du Grand Pontarlier,1197,46.91583,6.30917,810,7.87
l'Isle-sur-le-Doubs,25315,25250,2,Bavans,CC des Deux Vallées Vertes,2812,47.44695,6.58583,296,10.77
Jougne,25318,25370,3,Frasne,CC des Lacs et Montagnes du Haut-Doubs,1915,46.76194,6.39083,1001,29.04
Labergement-Sainte-Marie,25320,25160,3,Frasne,CC des Lacs et Montagnes du Haut-Doubs,1257,46.77639,6.28444,860,22.13
Les Auxons,25035,25870,1,Besançon-3,CU Grand Besançon Métropole,2522,47.30111,5.97222,260,3.91
Levier,25334,25270,3,Frasne,CC Altitude 800,2345,46.95361,6.11583,720,37.63
Maîche,25356,25120,2,Maîche,CC du Pays de Maîche,4226,47.25306,6.80222,790,17.46
Mamirolle,25364,25620,1,Besançon-5,CU Grand Besançon Métropole,1974,47.19722,6.16139,480,11.53
Mandeure,25367,25350,2,Valentigney,CA Pays de Montbéliard Agglomération,4672,47.45194,6.80667,335,15.23
Marchaux-Chaudefontaine,25368,25640,1,Besançon-4,CU Grand Besançon Métropole,1429,47.32472,6.13444,297,10.00
Mathay,25370,25700,2,Valentigney,CA Pays de Montbéliard Agglomération,2131,47.43722,6.78472,335,14.90
Métabief,25380,25370,3,Frasne,CC des Lacs et Montagnes du Haut-Doubs,1395,46.77333,6.34889,950,5.82
Miserey-Salines,25381,25480,1,Besançon-3,CU Grand Besançon Métropole,2660,47.28305,5.97000,300,6.17
Montbéliard,25388,25200,2,Montbéliard,CA Pays de Montbéliard Agglomération,25516,47.51194,6.80000,330,14.91
Montenois,25394,25260,2,Bavans,CA Pays de Montbéliard Agglomération,1394,47.49417,6.66583,410,8.16
Montfaucon,25395,25660,1,Besançon-5,CU Grand Besançon Métropole,1608,47.23583,6.08056,490,7.27
Montferrand-le-Château,25397,25320,1,Besançon-6,CU Grand Besançon Métropole,2191,47.17805,5.92444,290,7.48
Montlebon,25403,25500,3,Morteau,CC du Val de Morteau,2227,47.03917,6.61278,800,27.37
Morre,25410,25660,1,Besançon-5,CU Grand Besançon Métropole,1321,47.22528,6.06417,300,5.28
Morteau,25411,25500,3,Morteau,CC du Val de Morteau,6905,47.05750,6.60222,760,14.27
Mouthe,25413,25240,3,Frasne,CC des Lacs et Montagnes du Haut-Doubs,1025,46.71056,6.19194,938,38.89
Nancray,25418,25360,1,Besançon-5,CU Grand Besançon Métropole,1300,47.24556,6.18306,410,16.65
Nommay,25428,25600,2,Bethoncourt,CA Pays de Montbéliard Agglomération,1601,47.53917,6.84750,330,3.22
Novillars,25429,25220,1,Besançon-5,CU Grand Besançon Métropole,1345,47.28861,6.13167,260,2.05
Orchamps-Vennes,25432,25390,3,Valdahon,CC des Portes du Haut-Doubs,2180,47.13167,6.52500,750,24.80
Ornans,25434,25290,1,Ornans,CC Loue-Lison,4421,47.10556,6.14250,345,32.74
Pays-de-Clerval,25156,25340,2,Bavans,CC des Deux Vallées Vertes,1161,47.39389,6.49944,290,11.80
Pays-de-Montbenoît,25390,25650,3,Ornans,CC de Montbenoit,1914,46.99222,6.46139,800,5.12
Pelousey,25448,25170,1,Besançon-2,CU Grand Besançon Métropole,1588,47.27611,5.92139,242,6.23
Pierrefontaine-les-Varans,25453,25510,3,Valdahon,CC des Portes du Haut-Doubs,1361,47.21528,6.54056,700,29.13
Pirey,25454,25480,1,Besançon-2,CU Grand Besançon Métropole,2179,47.26278,5.96667,300,6.70
Pont-de-Roide,25463,25150,2,Valentigney,CA Pays de Montbéliard Agglomération,3971,47.38556,6.77139,350,13.59
Pontarlier,25462,25300,3,Pontarlier,CC du Grand Pontarlier,17928,46.90500,6.35528,840,41.39
Pouilley-les-Vignes,25467,25115,1,Besançon-2,CU Grand Besançon Métropole,2162,47.25694,5.93556,240,9.51
Les Premiers Sapins,25424,25580,3,Valdahon,CC des Portes du Haut-Doubs,1576,47.09555,6.34028,710,11.85
Quingey,25475,25440,1,Saint-Vit,CC Loue-Lison,1313,47.10333,5.88083,265,8.69
Roche-lez-Beaupré,25495,25220,1,Besançon-5,CU Grand Besançon Métropole,2185,47.27611,6.11417,250,5.60
Rougemont,25505,25680,1,Baume-les-Dames,CC des Deux Vallées Vertes,1012,47.47944,6.35722,255,18.26
Roulans,25508,25640,1,Baume-les-Dames,CC du Doubs Baumois,1122,47.31694,6.22972,360,8.34
le Russey,25512,25210,3,Morteau,CC du Plateau de Russey,2546,47.16306,6.72889,880,24.27
Saint-Vit,25527,25410,1,Saint-Vit,CU Grand Besançon Métropole,5059,47.18167,5.81139,257,16.42
Sainte-Suzanne,25526,25630,2,Montbéliard,CA Pays de Montbéliard Agglomération,1461,47.50555,6.76972,320,1.54
Sancey,25529,25430,2,Bavans,CC du Pays de Sancey-Belleherbe,1364,47.29472,6.58333,500,23.54
Saône,25532,25660,1,Besançon-5,CU Grand Besançon Métropole,3142,47.22472,6.11694,390,20.83
Seloncourt,25539,25230,2,Audincourt,CA Pays de Montbéliard Agglomération,5812,47.46222,6.86056,345,7.90
Serre-les-Sapins,25542,25770,1,Besançon-2,CU Grand Besançon Métropole,1921,47.24194,5.92806,300,5.28
Sochaux,25547,25600,2,Bethoncourt,CA Pays de Montbéliard Agglomération,3772,47.51639,6.83056,320,2.21
Taillecourt,25555,25400,2,Audincourt,CA Pays de Montbéliard Agglomération,1132,47.49750,6.85194,340,1.86
Tarcenay-Foucherans,25558,25620,1,Ornans,CC Loue-Lison,1498,47.15611,6.11028,492,13.07
Thise,25560,25220,1,Besançon-4,CU Grand Besançon Métropole,2990,47.28472,6.08056,280,9.01
Torpes,25564,25320,1,Besançon-6,CU Grand Besançon Métropole,1004,47.16945,5.89139,250,5.63
Val-d'Usiers,25060,25520,3,Ornans,CC Altitude 800,2128,46.95972,6.26833,750,14.07
Valdahon,25578,25800,3,Valdahon,CC des Portes du Haut-Doubs,5715,47.14750,6.34611,650,25.42
Valentigney,25580,25700,2,Valentigney,CA Pays de Montbéliard Agglomération,10624,47.46750,6.83333,326,9.79
Vercel-Villedieu-le-Camp,25601,25530,3,Valdahon,CC des Portes du Haut-Doubs,1732,47.18389,6.39917,650,30.37
Vieux-Charmont,25614,25600,2,Bethoncourt,CA Pays de Montbéliard Agglomération,2829,47.52417,6.83972,330,2.54
Villers-le-Lac,25321,25130,3,Morteau,CC du Val de Morteau,5248,47.06111,6.66972,780,30.35
Voujeaucourt,25632,25420,2,Valentigney,CA Pays de Montbéliard Agglomération,3152,47.47500,6.77417,317,9.47
Arbois,39013,39600,1,Arbois,CC Arbois, Poligny, Salins, Coeur du Jura,3146,46.90055,5.77278,292,45.51
Arinthod,39016,39240,2,Moirans-en-Montagne,CC Terre d'Émeraude Communauté,1149,46.39333,5.56583,450,20.07
Arlay,39017,39140,2,Bletterans,CC Bresse Haute Seille,1184,46.75889,5.52917,222,14.25
Beaufort-Orbagna,39043,39190,2,Saint-Amour,CC Porte du Jura,1466,46.57250,5.43806,250,13.17
Bletterans,39056,39140,2,Bletterans,CC Bresse Haute Seille,1530,46.74472,5.45111,203,7.82
Bois-d'Amont,39059,39220,3,Hauts de Bienne,CC de la Station des Rousses-Haut Jura,1695,46.53417,6.14056,1073,10.38
Champagnole,39097,39300,2,Champagnole,CC Champagnole Nozeroy Jura,8035,46.74389,5.90806,540,20.18
