label,category,locality,postal_code,latitude,longitude
Le lavoir sous roche,CulturalSite,L'Isle-sur-le-Doubs,25250,47.45132,6.5778
Bibliothèque,CulturalSite,Gilley,25650,47.04808,6.47926
Église Saint-Martin,CulturalSite,Baume-les-Dames,25110,47.353281,6.361773
Château-musée Le Trésor des Séquanes,CulturalSite,Burgille,25170,47.267836,5.7868211
Église sainte catherine,CulturalSite,Les Hôpitaux-Neufs,25370,46.7772838,6.37292399
Jardin du curé,Landform,Remoray-Boujeons,25160,46.7683524,6.23969292
Oratoire Notre-Dame Reine de tous les Saints,CulturalSite,Saint-Gorgon-Main,25520,47.02343,6.32235
Ferme-musée la Pastorale,CulturalSite,Bonnevaux,25560,46.8089162,6.1830248
Le barrage du Châtelot,Landform,Villers-le-Lac,25130,47.1017471,6.74421949
Eglise Saint-Maimboeuf,CulturalSite,Montbéliard,25200,47.5097513,6.79195404
Musée du Temps,CulturalSite,Besançon,25000,47.23583,6.02655887
Sentier karstique du Grand Bois et grotte Maëva,Landform,Les Monts-Ronds,25660,47.1603543,6.06181642
MTR cuir,CulturalSite,Jallerange,25170,47.25186,5.71116
Atelier du Peintre - Michel Faillenet,CulturalSite,Ornans,25290,47.1048054,6.1491825
Françoise Graf,CulturalSite,Besançon,25000,47.2359201,6.02175851
Odile Bayle,CulturalSite,Morre,25660,47.22586,6.06626
Atelier Euphonia,CulturalSite,Vuillafans,25840,47.0651059,6.2172352
Chapelle de Montpetot,CulturalSite,La Cluse-et-Mijoux,25300,46.8704788,6.389575
La Fabrique du Chocolat,CulturalSite,Ornans,25290,47.1084178,6.1382217
ENS - Les Coteaux de Belvoir,Landform,Belvoir,25430,47.3209797,6.6072945
Réserve Naturelle Régionale Tourbières de Frasne Bouverans,Landform,Frasne,25560,46.8345963,6.15646361
École de Ski Internationale - ESI Métabief,Landform,Métabief,25370,46.7683443,6.35750591
Point de vue de Montaigu,Landform,Valoreille,25190,47.3010472,6.73120399
Moulin Scierie Marandet,CulturalSite,Bonnevaux,25560,46.80907,6.18429
Anne Dussuchal  mosaïste,CulturalSite,Besançon,25000,47.24273,6.04623
Atelier de typographie Affiche Moilkan,CulturalSite,Baume-les-Dames,25110,47.3538031,6.36184339
Compagnon  numérique musée Courbet,CulturalSite,Ornans,25290,47.1050452,6.14765172
Les sources du Cusancin,Landform,Cusance,25110,47.32417,6.43824
Jardin des Sens - Promenade de l'Helvétie,CulturalSite,Besançon,25000,47.2423931,6.02871537
Parc du Près-la-Rose,CulturalSite,Montbéliard,25200,47.505844,6.80310437
Église Saint-Bénigne,CulturalSite,Pontarlier,25300,46.9021247,6.35646286
Source du Lison,Landform,Nans-sous-Sainte-Anne,25330,46.967368,6.01037979
Ferme Courbet,CulturalSite,Flagey,25330,47.0370983,6.12295169
Chantier naval franco-suisse,CulturalSite,Villers-le-Lac,25130,47.0601636,6.6714273
